,date,time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26
32,22/7/3,23:20,36,2,1,1,48,1,b'R<',1,,,,,,,,,,,,,,,,,,,,,,,,,,
33,22/7/3,23:28,37,3,1,1,42,1,b'RM',1,,,,,,,,,,,,,,,,,,,,,,,,,,
34,22/7/3,23:33,38,2,1,1,41,1,b'\x14h',1,,,,,,,,,,,,,,,,,,,,,,,,,,
35,22/7/3,23:39,39,2,1,1,51,1,b'\x14]',1,,,,,,,,,,,,,,,,,,,,,,,,,,
36,22/7/3,23:43,40,3,1,1,50,1,b'\xd2|',1,,,,,,,,,,,,,,,,,,,,,,,,,,
37,22/7/3,23:46,41,2,1,1,54,1,b'\xe3m',1,,,,,,,,,,,,,,,,,,,,,,,,,,
38,22/7/3,23:46,42,3,1,1,48,1,b']\xa9',1,,,,,,,,,,,,,,,,,,,,,,,,,,
39,22/7/3,23:50,43,2,1,1,50,1,b'\x85\xb4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
40,22/7/3,23:56,44,2,1,1,59,1,b'\x95\x1b',1,,,,,,,,,,,,,,,,,,,,,,,,,,
41,22/7/3,23:58,45,3,1,1,50,1,b'\x19\xe2',1,,,,,,,,,,,,,,,,,,,,,,,,,,
42,22/7/4,00:00,46,2,1,1,43,1,b'*\xda',1,,,,,,,,,,,,,,,,,,,,,,,,,,
43,22/7/4,00:01,47,3,1,1,44,1,b'3\xd1',1,,,,,,,,,,,,,,,,,,,,,,,,,,
44,22/7/4,00:03,48,2,1,1,43,1,b'2\xc1',1,,,,,,,,,,,,,,,,,,,,,,,,,,
45,22/7/4,00:13,49,2,1,1,59,1,b']\x1d',1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,
46,22/7/4,00:18,50,2,1,1,42,1,b'\xd1{',1,,,,,,,,,,,,,,,,,,,,,,,,,,
47,22/7/4,00:21,51,2,1,1,42,1,b'#\x1c',1,,,,,,,,,,,,,,,,,,,,,,,,,,
48,22/7/4,00:48,52,2,1,1,48,1,b'N4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
49,22/7/4,00:51,53,2,1,1,41,1,b'\x9bV',1,,,,,,,,,,,,,,,,,,,,,,,,,,
50,22/7/4,00:51,54,4,1,1,59,1,b'p\xe4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
51,22/7/4,00:55,55,2,1,1,45,1,b'\xa3\x0f',1,,,,,,,,,,,,,,,,,,,,,,,,,,
52,22/7/4,00:57,56,2,1,1,43,1,b'k}',1,,,,,,,,,,,,,,,,,,,,,,,,,,
53,22/7/4,00:58,57,2,1,1,44,1,b']r',1,,,,,,,,,,,,,,,,,,,,,,,,,,
54,22/7/4,01:00,58,2,1,1,31,1,b'\xf9A',1,,,,,,,,,,,,,,,,,,,,,,,,,,
55,22/7/4,01:01,59,3,1,1,55,1,b'\x9a\xfd',1,,,,,,,,,,,,,,,,,,,,,,,,,,
56,22/7/4,01:06,60,2,1,1,41,1,b'\xdd\xde',1,,,,,,,,,,,,,,,,,,,,,,,,,,
57,22/7/4,01:30,61,2,1,1,27,1,b'\x17\xa5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
58,22/7/4,01:31,62,2,1,1,42,1,"b'\x82""'",1,,,,,,,,,,,,,,,,,,,,,,,,,,
59,22/7/4,02:06,63,2,1,1,36,1,b'\x1a\xbb',1,,,,,,,,,,,,,,,,,,,,,,,,,,
60,22/7/4,02:07,64,2,1,1,44,1,b'3\x8d',1,,,,,,,,,,,,,,,,,,,,,,,,,,
61,22/7/4,02:09,65,2,1,1,46,1,b'\x80\xe1',1,,,,,,,,,,,,,,,,,,,,,,,,,,
62,22/7/4,02:12,66,2,1,1,48,1,b'Zd',1,,,,,,,,,,,,,,,,,,,,,,,,,,
63,22/7/4,02:31,67,3,1,1,49,1,b'\xb7@',1,,,,,,,,,,,,,,,,,,,,,,,,,,
64,22/7/4,03:23,68,2,1,1,45,1,b'Yj',1,,,,,,,,,,,,,,,,,,,,,,,,,,
65,22/7/4,03:32,69,2,1,1,53,1,b'\x7f#',1,,,,,,,,,,,,,,,,,,,,,,,,,,
66,22/7/4,03:52,70,3,1,1,60,1,b'I\x95',1,,,,,,,,,,,,,,,,,,,,,,,,,,
67,22/7/4,04:01,71,2,1,1,53,1,b'\x7fI',1,,,,,,,,,,,,,,,,,,,,,,,,,,
68,22/7/4,04:10,72,2,1,1,43,1,b'\xd6o',1,,,,,,,,,,,,,,,,,,,,,,,,,,
69,22/7/4,04:14,73,3,1,1,55,1,b'c\x15',1,,,,,,,,,,,,,,,,,,,,,,,,,,
70,22/7/4,04:22,74,3,1,1,56,1,b'57',1,,,,,,,,,,,,,,,,,,,,,,,,,,
71,22/7/4,04:37,75,2,1,1,29,1,b'\x8e\x93',1,,,,,,,,,,,,,,,,,,,,,,,,,,
72,22/7/4,04:51,76,2,1,1,44,1,b'\x0f*',1,,,,,,,,,,,,,,,,,,,,,,,,,,
73,22/7/4,04:57,77,2,1,1,41,1,b'x.',1,,,,,,,,,,,,,,,,,,,,,,,,,,
74,22/7/4,05:00,78,3,1,1,49,1,b'\x98\x91',1,,,,,,,,,,,,,,,,,,,,,,,,,,
75,22/7/4,05:12,79,2,1,1,49,1,b'\xa2J',1,,,,,,,,,,,,,,,,,,,,,,,,,,
76,22/7/4,05:21,80,2,1,1,43,1,b'\x01\xdb',1,,,,,,,,,,,,,,,,,,,,,,,,,,
77,22/7/4,05:26,81,3,1,1,42,1,b'\x87\xca',1,,,,,,,,,,,,,,,,,,,,,,,,,,
78,22/7/4,05:34,82,2,1,1,49,1,b'p1',1,,,,,,,,,,,,,,,,,,,,,,,,,,
79,22/7/4,05:43,83,3,1,1,44,1,b'|\xd0',1,,,,,,,,,,,,,,,,,,,,,,,,,,
80,22/7/4,05:46,84,3,1,1,59,1,b'\xa7\x84',1,,,,,,,,,,,,,,,,,,,,,,,,,,
81,22/7/4,05:50,85,3,1,1,43,1,b'}\xfc',1,,,,,,,,,,,,,,,,,,,,,,,,,,
82,22/7/4,05:52,86,2,1,1,42,1,b'-A',1,,,,,,,,,,,,,,,,,,,,,,,,,,
83,22/7/4,05:57,87,2,1,1,44,1,b'\xa5\x03',1,,,,,,,,,,,,,,,,,,,,,,,,,,
84,22/7/4,06:01,88,2,1,1,54,1,b'\xf3w',1,,,,,,,,,,,,,,,,,,,,,,,,,,
85,22/7/4,06:11,89,2,1,1,55,1,b'h\x01',1,,,,,,,,,,,,,,,,,,,,,,,,,,
86,22/7/4,06:12,90,2,1,1,55,1,b'\xabr',1,,,,,,,,,,,,,,,,,,,,,,,,,,
87,22/7/4,06:15,91,2,1,1,61,1,b'\x12\xf6',1,,,,,,,,,,,,,,,,,,,,,,,,,,
88,22/7/4,06:23,92,2,1,1,45,1,b'\xae\x07',1,,,,,,,,,,,,,,,,,,,,,,,,,,
89,22/7/4,06:25,93,2,1,1,58,1,b'\xeb\xc6',1,,,,,,,,,,,,,,,,,,,,,,,,,,
90,22/7/4,06:25,94,3,1,1,65,1,b'\x9f\xd3',1,,,,,,,,,,,,,,,,,,,,,,,,,,
91,22/7/4,06:27,95,4,1,1,55,1,b'\xb2\x10',1,,,,,,,,,,,,,,,,,,,,,,,,,,
92,22/7/4,06:32,96,2,1,1,51,1,b'-\x19',1,,,,,,,,,,,,,,,,,,,,,,,,,,
93,22/7/4,06:36,97,3,1,1,46,1,b'\xf3\xf5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
94,22/7/4,06:42,98,2,1,1,50,1,b'\x97\xf5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
95,22/7/4,06:43,99,2,1,1,49,1,b'\xb7\x13',1,,,,,,,,,,,,,,,,,,,,,,,,,,
96,22/7/4,06:52,100,3,1,1,54,1,b'\xbc\x00',1,,,,,,,,,,,,,,,,,,,,,,,,,,
97,22/7/4,06:54,101,2,1,1,52,1,b'\xf5\xb3',1,,,,,,,,,,,,,,,,,,,,,,,,,,
98,22/7/4,06:59,102,2,1,1,46,1,b'\t;',1,,,,,,,,,,,,,,,,,,,,,,,,,,
99,22/7/4,07:09,103,2,1,1,46,1,b'i\n',1,,,,,,,,,,,,,,,,,,,,,,,,,,
100,22/7/4,07:09,104,3,1,1,49,1,b'c\x06',1,,,,,,,,,,,,,,,,,,,,,,,,,,
101,22/7/4,07:14,105,2,1,1,46,1,b'\x1c\x8f',1,,,,,,,,,,,,,,,,,,,,,,,,,,
102,22/7/4,07:24,106,4,1,1,59,1,b']1',1,,,,,,,,,,,,,,,,,,,,,,,,,,
103,22/7/4,07:25,107,3,1,1,53,1,b':\x11',1,,,,,,,,,,,,,,,,,,,,,,,,,,
104,22/7/4,07:26,108,2,1,1,42,1,b'\xf3\x9b',1,,,,,,,,,,,,,,,,,,,,,,,,,,
105,22/7/4,07:31,109,3,1,1,48,1,b'\xf1m',1,,,,,,,,,,,,,,,,,,,,,,,,,,
106,22/7/4,07:37,110,3,1,1,43,1,b')\x92',1,,,,,,,,,,,,,,,,,,,,,,,,,,
107,22/7/4,07:42,111,2,1,1,50,1,b'\x06/',1,,,,,,,,,,,,,,,,,,,,,,,,,,
108,22/7/4,07:48,112,3,1,1,55,1,b'/\x86',1,,,,,,,,,,,,,,,,,,,,,,,,,,
109,22/7/4,07:50,113,2,1,1,42,1,b'>D',1,,,,,,,,,,,,,,,,,,,,,,,,,,
110,22/7/4,07:53,114,4,1,1,62,1,b'\xadT',1,,,,,,,,,,,,,,,,,,,,,,,,,,
111,22/7/4,07:54,115,2,1,1,47,1,b'\xbd\x01',1,,,,,,,,,,,,,,,,,,,,,,,,,,
112,22/7/4,07:58,116,2,1,1,43,1,b'=\x81',1,,,,,,,,,,,,,,,,,,,,,,,,,,
113,22/7/4,08:01,117,2,1,1,52,1,b'\xc9r',1,,,,,,,,,,,,,,,,,,,,,,,,,,
114,22/7/4,08:04,118,2,1,1,54,1,b'\x86\xa3',1,,,,,,,,,,,,,,,,,,,,,,,,,,
115,22/7/4,08:18,119,3,1,1,49,1,b'94',1,,,,,,,,,,,,,,,,,,,,,,,,,,
116,22/7/4,08:21,120,2,1,1,53,1,b'\xb5X',1,,,,,,,,,,,,,,,,,,,,,,,,,,
117,22/7/4,08:28,121,2,1,1,44,1,b'P\xde',1,,,,,,,,,,,,,,,,,,,,,,,,,,
118,22/7/4,08:32,122,3,1,1,43,1,b'\x07\xc4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
119,22/7/4,08:33,123,3,1,1,50,1,b'\xf8\xb7',1,,,,,,,,,,,,,,,,,,,,,,,,,,
120,22/7/4,08:35,124,2,1,1,46,1,b'\xd1\xdf',1,,,,,,,,,,,,,,,,,,,,,,,,,,
121,22/7/4,08:35,125,3,1,1,40,1,b'[\x05',1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
122,22/7/4,08:36,126,3,1,1,48,1,b'\xe4Z',1,,,,,,,,,,,,,,,,,,,,,,,,,,
123,22/7/4,08:41,127,2,1,1,49,1,b'\x98\xd0',1,,,,,,,,,,,,,,,,,,,,,,,,,,
124,22/7/4,08:43,128,2,1,1,56,1,b'\x18\x08',1,,,,,,,,,,,,,,,,,,,,,,,,,,
125,22/7/4,08:49,129,3,1,1,30,1,b'`L',1,,,,,,,,,,,,,,,,,,,,,,,,,,
126,22/7/4,08:51,130,2,1,1,44,1,b':-',1,,,,,,,,,,,,,,,,,,,,,,,,,,
127,22/7/4,08:55,131,2,1,1,45,1,b'\x97d',1,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
128,22/7/4,08:56,132,2,1,1,49,1,b'\x8a\xf0',1,,,,,,,,,,,,,,,,,,,,,,,,,,
129,22/7/4,08:56,133,3,1,1,50,1,b'RN',1,,,,,,,,,,,,,,,,,,,,,,,,,,
130,22/7/4,09:04,134,3,1,1,60,1,b'\x94\x1e',1,,,,,,,,,,,,,,,,,,,,,,,,,,
131,22/7/4,09:07,135,2,1,1,45,1,b'\x9c\x8c',1,,,,,,,,,,,,,,,,,,,,,,,,,,
132,22/7/4,09:11,136,2,1,1,43,1,b'\xaee',1,,,,,,,,,,,,,,,,,,,,,,,,,,
133,22/7/4,09:17,137,4,1,1,56,1,b'k\xc4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
134,22/7/4,09:20,138,2,1,1,44,1,b'C\xfe',1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
135,22/7/4,09:24,139,2,1,1,49,1,b'\x13\xc9',1,,,,,,,,,,,,,,,,,,,,,,,,,,
136,22/7/4,09:24,140,4,1,1,59,1,b'\xe3u',1,,,,,,,,,,,,,,,,,,,,,,,,,,
137,22/7/4,09:25,141,2,1,1,45,1,b'(\xec',1,,,,,,,,,,,,,,,,,,,,,,,,,,
138,22/7/4,09:25,142,3,1,1,51,1,b'\xef\x0e',1,,,,,,,,,,,,,,,,,,,,,,,,,,
139,22/7/4,09:26,143,3,1,1,53,1,b'b\x1d',1,,,,,,,,,,,,,,,,,,,,,,,,,,
140,22/7/4,09:28,144,2,1,1,46,1,b'\xc3\xec',1,,,,,,,,,,,,,,,,,,,,,,,,,,
141,22/7/4,09:29,145,4,1,1,53,1,b'\x87\xfe',1,,,,,,,,,,,,,,,,,,,,,,,,,,
142,22/7/4,09:30,146,3,1,1,50,1,b'H\xa8',1,,,,,,,,,,,,,,,,,,,,,,,,,,
143,22/7/4,09:31,147,2,1,1,62,1,b'Dc',1,,,,,,,,,,,,,,,,,,,,,,,,,,
144,22/7/4,09:33,148,2,1,1,56,1,b'\xe5I',1,,,,,,,,,,,,,,,,,,,,,,,,,,
145,22/7/4,09:34,149,2,1,1,53,1,b'}\x9a',1,,,,,,,,,,,,,,,,,,,,,,,,,,
146,22/7/4,09:35,150,2,1,1,49,1,b'M?',1,,,,,,,,,,,,,,,,,,,,,,,,,,
147,22/7/4,09:36,151,3,1,1,57,1,b'b\xa8',1,,,,,,,,,,,,,,,,,,,,,,,,,,
148,22/7/4,09:37,152,2,1,1,47,1,b'&\x9a',1,,,,,,,,,,,,,,,,,,,,,,,,,,
149,22/7/4,09:38,153,2,1,1,56,1,b'\xb1V',1,,,,,,,,,,,,,,,,,,,,,,,,,,
150,22/7/4,09:42,154,2,1,1,43,1,b'\xbf\x87',1,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
151,22/7/4,09:42,155,3,1,1,49,1,b'\xc9\xee',1,,,,,,,,,,,,,,,,,,,,,,,,,,
152,22/7/4,09:43,156,2,1,1,58,1,b'g\xc4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
153,22/7/4,09:44,157,2,1,1,48,1,b';\x7f',1,,,,,,,,,,,,,,,,,,,,,,,,,,
154,22/7/4,09:45,158,3,1,1,53,1,b'\xb5\xd3',1,,,,,,,,,,,,,,,,,,,,,,,,,,
155,22/7/4,09:49,159,2,1,1,46,1,b'\xaf\xf4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
156,22/7/4,09:53,160,2,1,1,45,1,b'\x89\xe6',1,,,,,,,,,,,,,,,,,,,,,,,,,,
157,22/7/4,09:58,161,2,1,1,52,1,b's\xc4',1,,,,,,,,,,,,,,,,,,,,,,,,,,
158,22/7/4,10:07,162,2,1,1,50,1,b'\xded',1,,,,,,,,,,,,,,,,,,,,,,,,,,
159,22/7/4,10:07,163,3,1,1,53,1,"b':""'",1,,,,,,,,,,,,,,,,,,,,,,,,,,
160,22/7/4,10:10,164,3,1,1,69,1,b'>M',1,,,,,,,,,,,,,,,,,,,,,,,,,,
161,22/7/4,10:13,165,2,1,1,39,1,b'[\x9f',1,,,,,,,,,,,,,,,,,,,,,,,,,,
162,22/7/4,10:15,166,2,1,1,51,1,b'\xcd/',1,,,,,,,,,,,,,,,,,,,,,,,,,,
163,22/7/4,10:16,167,3,1,1,51,1,b'\xb4W',1,,,,,,,,,,,,,,,,,,,,,,,,,,
164,22/7/4,10:20,168,3,1,1,50,1,b'm\x96',1,,,,,,,,,,,,,,,,,,,,,,,,,,
165,22/7/4,10:20,169,3,1,1,50,1,b'\xad\x92',1,,,,,,,,,,,,,,,,,,,,,,,,,,
166,22/7/4,10:27,170,2,1,1,51,1,b'\x1a\x97',1,,,,,,,,,,,,,,,,,,,,,,,,,,
167,22/7/4,10:30,171,3,1,1,62,1,b'\x98\xf5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
168,22/7/4,10:31,172,2,1,1,50,1,b'\x0e\xad',1,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
169,22/7/4,10:41,173,3,1,1,50,1,b's\xf4',1,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
170,22/7/4,10:43,174,3,1,1,52,1,b'\xf1\xf5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
171,22/7/4,10:45,175,3,1,1,64,1,b'W\xf7',1,,,,,,,,,,,,,,,,,,,,,,,,,,
172,22/7/4,10:46,176,2,1,1,50,1,b'i\x14',1,,,,,,,,,,,,,,,,,,,,,,,,,,
173,22/7/4,10:48,177,3,1,1,48,1,b'K\x92',1,,,,,,,,,,,,,,,,,,,,,,,,,,
174,22/7/4,10:50,178,2,1,1,49,1,b'.\x9a',1,,,,,,,,,,,,,,,,,,,,,,,,,,
175,22/7/4,10:50,179,4,1,1,55,1,b'\xb9\x8d',1,,,,,,,,,,,,,,,,,,,,,,,,,,
176,22/7/4,10:52,180,2,1,1,52,1,b'5l',1,,,,,,,,,,,,,,,,,,,,,,,,,,
177,22/7/4,10:52,181,3,1,1,48,1,b'\xcc\x85',1,,,,,,,,,,,,,,,,,,,,,,,,,,
178,22/7/4,10:53,182,2,1,1,45,1,b';\x0f',1,,,,,,,,,,,,,,,,,,,,,,,,,,
179,22/7/4,10:54,183,3,1,1,61,1,b'\x88\x81',1,,,,,,,,,,,,,,,,,,,,,,,,,,
180,22/7/4,10:55,184,2,1,1,48,1,b'x\xb0',1,,,,,,,,,,,,,,,,,,,,,,,,,,
181,22/7/4,10:56,185,2,1,1,47,1,b'\x18\xd9',1,,,,,,,,,,,,,,,,,,,,,,,,,,
182,22/7/4,10:58,186,2,1,1,48,1,b'\x9b\xa9',1,,,,,,,,,,,,,,,,,,,,,,,,,,
183,22/7/4,10:59,187,2,1,1,41,1,b'\xb4P',1,,,,,,,,,,,,,,,,,,,,,,,,,,
184,22/7/4,11:00,188,4,1,1,57,1,b'\x0c~',1,,,,,,,,,,,,,,,,,,,,,,,,,,
185,22/7/4,11:01,189,3,1,1,51,1,"b'\x87,'",1,,,,,,,,,,,,,,,,,,,,,,,,,,
186,22/7/4,11:02,190,1,1,1,48,1,b'\xd7r',1,,,,,,,,,,,,,,,,,,,,,,,,,,
187,22/7/4,11:04,191,3,1,1,41,1,b'zv',1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
188,22/7/4,11:05,192,3,1,1,62,1,b'\x00\x98',1,,,,,,,,,,,,,,,,,,,,,,,,,,
189,22/7/4,11:09,193,2,1,1,43,1,b'\xcc\xee',1,,,,,,,,,,,,,,,,,,,,,,,,,,
190,22/7/4,11:10,194,2,1,1,49,1,b'\xe5\xbd',1,,,,,,,,,,,,,,,,,,,,,,,,,,
191,22/7/4,11:11,195,2,1,1,47,1,b'\xeb\x13',1,,,,,,,,,,,,,,,,,,,,,,,,,,
192,22/7/4,11:15,196,2,1,1,49,1,b'\xae\xf3',1,,,,,,,,,,,,,,,,,,,,,,,,,,
193,22/7/4,11:22,197,2,1,1,50,1,b'\xd0\x95',1,,,,,,,,,,,,,,,,,,,,,,,,,,
194,22/7/4,11:24,198,3,1,1,57,1,b'4\x01',1,,,,,,,,,,,,,,,,,,,,,,,,,,
195,22/7/4,11:24,199,4,1,1,54,1,b'\xc5\xfa',1,,,,,,,,,,,,,,,,,,,,,,,,,,
196,22/7/4,11:25,200,3,1,1,45,1,b'\xc3\x1b',1,,,,,,,,,,,,,,,,,,,,,,,,,,
197,22/7/4,11:26,201,2,1,1,60,1,b'\x1b\x03',1,,,,,,,,,,,,,,,,,,,,,,,,,,
198,22/7/4,11:27,202,2,1,1,45,1,b'\xdd\x0b',1,,,,,,,,,,,,,,,,,,,,,,,,,,
199,22/7/4,11:30,203,2,1,1,46,1,b'\x18\xd2',1,,,,,,,,,,,,,,,,,,,,,,,,,,
200,22/7/4,11:30,204,3,1,1,57,1,b'\xde\xe1',1,,,,,,,,,,,,,,,,,,,,,,,,,,
201,22/7/4,11:31,205,2,1,1,49,1,b'M\x8a',1,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
202,22/7/4,11:33,206,3,1,1,60,1,b'=\x05',1,,,,,,,,,,,,,,,,,,,,,,,,,,
203,22/7/4,11:34,207,2,1,1,46,1,b'\xf8\xb2',1,,,,,,,,,,,,,,,,,,,,,,,,,,
204,22/7/4,11:35,208,2,1,1,54,1,b'\x90C',1,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
205,22/7/4,11:38,209,2,1,1,59,1,b'\xf4\xed',1,,,,,,,,,,,,,,,,,,,,,,,,,,
206,22/7/4,11:38,210,3,1,1,54,1,b'\x8fc',1,,,,,,,,,,,,,,,,,,,,,,,,,,
207,22/7/4,11:41,211,4,1,1,66,1,b'\xd6\x1e',1,,,,,,,,,,,,,,,,,,,,,,,,,,
208,22/7/4,11:46,212,3,1,1,57,1,b'?\x18',1,,,,,,,,,,,,,,,,,,,,,,,,,,
209,22/7/4,11:51,213,2,1,1,49,1,b'\xb4\x94',1,,,,,,,,,,,,,,,,,,,,,,,,,,
210,22/7/4,11:52,214,2,1,1,50,1,b'\xba\xc2',1,,,,,,,,,,,,,,,,,,,,,,,,,,
211,22/7/4,11:55,215,3,1,1,51,1,b'\xc3\x19',1,,,,,,,,,,,,,,,,,,,,,,,,,,
212,22/7/4,11:57,216,2,1,1,41,1,b'/\xa6',1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
213,22/7/4,11:58,217,4,1,1,50,1,b'\xf5)',1,,,,,,,,,,,,,,,,,,,,,,,,,,
214,22/7/4,11:59,218,2,1,1,50,1,"b'4,'",1,,,,,,,,,,,,,,,,,,,,,,,,,,
215,22/7/4,12:00,219,2,1,1,54,1,b']\xb5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
216,22/7/4,12:01,220,3,1,1,66,1,b'\x9f\xfd',1,,,,,,,,,,,,,,,,,,,,,,,,,,
217,22/7/4,12:02,221,3,1,1,55,1,b'\x9a\x91',1,,,,,,,,,,,,,,,,,,,,,,,,,,
218,22/7/4,12:03,222,2,1,1,54,1,b'(\xc5',1,,,,,,,,,,,,,,,,,,,,,,,,,,
