,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19
38,2022/07/06 20:49,42,3,1,1,37,1,b'\xd8M',1,[37],,,,,,,,,,,,,,,,,,,
39,2022/07/06 20:54,43,2,1,1,46,1,b'\xeau',1,[46],,,,,,,,,,,,,,,,,,,
40,2022/07/06 20:55,44,2,1,1,42,1,b'\xb8\xf8',1,[42],,,,,,,,,,,,,,,,,,,
41,2022/07/06 20:56,45,2,1,1,47,1,b'\xd7\x8e',1,[47],,,,,,,,,,,,,,,,,,,
42,2022/07/06 21:00,46,3,1,1,43,1,b'_(',1,[43],,,,,,,,,,,,,,,,,,,
43,2022/07/06 21:01,47,2,1,1,44,1,b'\x96\xa9',1,[44],,,,,,,,,,,,,,,,,,,
44,2022/07/06 21:10,48,2,1,1,38,1,b'\xfa\x9f',1,[38],,,,,,,,,,,,,,,,,,,
45,2022/07/06 21:12,49,2,1,1,40,1,b'\xb7\x1b',1,[40],,,,,,,,,,,,,,,,,,,
46,2022/07/06 21:16,50,2,1,1,42,1,b'[\x07',1,[42],,,,,,,,,,,,,,,,,,,
47,2022/07/06 21:17,51,2,1,1,42,1,b'\xb6\xc4',1,[42],,,,,,,,,,,,,,,,,,,
48,2022/07/06 21:18,52,2,1,1,41,1,b'>\xb1',1,"[41, 45]",0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
49,2022/07/06 21:19,53,2,1,1,49,1,b'\xab`',1,[49],,,,,,,,,,,,,,,,,,,
50,2022/07/06 21:20,54,2,1,1,33,1,b'\x81v',1,"[33, 45]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
51,2022/07/06 21:23,55,2,1,1,39,1,b'D\xc3',1,[39],,,,,,,,,,,,,,,,,,,
52,2022/07/06 21:24,56,2,1,1,46,1,b'z\xa7',1,"[46, 49]",0.0,0.0,1.0,,,,,,,,,,,,,,,,
53,2022/07/06 21:26,57,2,1,1,31,1,b'+\x0b',1,[31],,,,,,,,,,,,,,,,,,,
54,2022/07/06 21:32,58,2,1,1,38,1,b'\x06\xc8',1,[38],,,,,,,,,,,,,,,,,,,
55,2022/07/06 21:34,59,2,1,1,33,1,b'\xcd\x8a',1,[33],,,,,,,,,,,,,,,,,,,
56,2022/07/06 21:35,60,2,1,1,46,1,b'\x8a\xc7',1,[46],,,,,,,,,,,,,,,,,,,
57,2022/07/06 21:36,61,2,1,1,41,1,b'Y\xf7',1,[41],,,,,,,,,,,,,,,,,,,
58,2022/07/06 21:38,62,2,1,1,47,1,b'\x18\xbd',1,[47],,,,,,,,,,,,,,,,,,,
59,2022/07/06 21:39,63,2,1,1,47,1,b'm\xc9',1,"[47, 49]",0.0,1.0,,,,,,,,,,,,,,,,,
60,2022/07/06 21:40,64,2,1,1,44,1,b'\x1cS',1,[44],,,,,,,,,,,,,,,,,,,
61,2022/07/06 21:43,65,2,1,1,39,1,b'\x1e\xcb',1,[39],,,,,,,,,,,,,,,,,,,
62,2022/07/06 21:53,66,2,1,1,35,1,b'\x92\x07',1,[35],,,,,,,,,,,,,,,,,,,
63,2022/07/06 21:56,67,2,1,1,43,1,b'\x83G',1,"[43, 44]",1.0,,,,,,,,,,,,,,,,,,
64,2022/07/06 21:58,68,2,1,1,36,1,b'\xc8\xfa',1,[36],,,,,,,,,,,,,,,,,,,
65,2022/07/06 22:09,69,2,1,1,39,1,b'\xd6\xfb',1,[39],,,,,,,,,,,,,,,,,,,
66,2022/07/06 22:13,70,2,1,1,45,1,b'b|',1,"[45, 53]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,
67,2022/07/06 22:15,71,2,1,1,46,1,b'\x9b\xb2',1,[46],,,,,,,,,,,,,,,,,,,
68,2022/07/06 22:17,72,3,1,1,51,1,b'\xa6\xa3',1,[51],,,,,,,,,,,,,,,,,,,
69,2022/07/06 22:24,73,3,1,1,43,1,b'(\xb3',1,[43],,,,,,,,,,,,,,,,,,,
70,2022/07/06 22:30,74,2,1,1,42,1,b'\xa8\x84',1,[42],,,,,,,,,,,,,,,,,,,
71,2022/07/06 22:37,75,2,1,1,41,1,b'\x15\x8e',1,[41],,,,,,,,,,,,,,,,,,,
72,2022/07/06 22:37,76,3,1,1,25,1,b'\xa1e',1,[25],,,,,,,,,,,,,,,,,,,
73,2022/07/06 22:43,77,2,1,1,39,1,b'\xd1\xc7',1,[39],,,,,,,,,,,,,,,,,,,
74,2022/07/06 23:23,78,2,1,1,46,1,b'6\xc0',1,[46],,,,,,,,,,,,,,,,,,,
75,2022/07/06 23:26,79,2,1,1,40,1,b'n\x08',1,[40],,,,,,,,,,,,,,,,,,,
76,2022/07/06 23:31,80,2,1,1,42,1,b'\x0f\x00',1,[42],,,,,,,,,,,,,,,,,,,
77,2022/07/06 23:54,81,2,1,1,47,1,b'F%',1,[47],,,,,,,,,,,,,,,,,,,
