,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24
17,2022/07/05 18:29,21,2,1,1,42,1,b'\xca%',1,"[42, 48]",0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
18,2022/07/05 18:31,22,3,1,1,48,1,b'@d',1,[48],,,,,,,,,,,,,,,,,,,,,,,,
19,2022/07/05 18:34,23,3,1,1,54,1,b'\xb5\xa4',1,[54],,,,,,,,,,,,,,,,,,,,,,,,
20,2022/07/05 18:35,24,3,1,1,48,2,b'g\xe7',2,"[48, 48, 54, 54]",0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,
21,2022/07/05 18:36,25,3,1,1,50,1,b'\xd1\x1e',1,[50],,,,,,,,,,,,,,,,,,,,,,,,
22,2022/07/05 18:37,26,3,1,1,51,1,b'U\xf3',1,"[51, 57]",0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
23,2022/07/05 18:38,27,3,1,1,55,1,b'M\xff',1,[55],,,,,,,,,,,,,,,,,,,,,,,,
24,2022/07/05 18:39,28,3,1,1,51,1,b'\x1fr',1,[51],,,,,,,,,,,,,,,,,,,,,,,,
25,2022/07/05 18:41,29,3,1,1,46,1,b'\xf4o',1,[46],,,,,,,,,,,,,,,,,,,,,,,,
26,2022/07/05 18:42,30,3,1,1,51,1,b'\xfck',1,[51],,,,,,,,,,,,,,,,,,,,,,,,
27,2022/07/05 18:43,31,3,1,1,46,1,b'3\xe1',1,"[46, 48, 50]",0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
28,2022/07/05 18:45,32,3,1,1,31,1,b'X\x9c',1,"[31, 55]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,2022/07/05 18:46,33,3,1,1,55,1,b'\xfb.',1,[55],,,,,,,,,,,,,,,,,,,,,,,,
30,2022/07/05 18:47,34,3,1,1,52,2,b'\x82\xf6',2,"[52, 52]",,,,,,,,,,,,,,,,,,,,,,,,
31,2022/07/05 18:49,35,3,1,1,42,1,b'X\x1b',1,[42],,,,,,,,,,,,,,,,,,,,,,,,
32,2022/07/05 18:50,36,2,1,1,44,1,b'.\xc2',1,"[44, 47]",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
33,2022/07/05 18:51,37,2,1,1,52,1,b'\xc7N',1,[52],,,,,,,,,,,,,,,,,,,,,,,,
34,2022/07/05 18:51,38,3,1,1,39,1,b'9\xf3',1,"[39, 47]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,
35,2022/07/05 18:52,39,3,1,1,50,1,b'[g',1,[50],,,,,,,,,,,,,,,,,,,,,,,,
36,2022/07/05 18:53,40,3,1,1,52,1,b'\xbb\x83',1,[52],,,,,,,,,,,,,,,,,,,,,,,,
37,2022/07/05 18:54,41,2,1,1,42,1,b'\x9a)',1,[42],,,,,,,,,,,,,,,,,,,,,,,,
38,2022/07/05 18:54,42,3,1,1,58,1,b'\xcf\xef',1,[58],,,,,,,,,,,,,,,,,,,,,,,,
39,2022/07/05 18:56,43,2,1,1,50,1,b'\x07\xc0',1,[50],,,,,,,,,,,,,,,,,,,,,,,,
40,2022/07/05 18:56,44,3,1,1,46,1,b'\x04\xb9',1,[46],,,,,,,,,,,,,,,,,,,,,,,,
41,2022/07/05 18:58,45,3,1,1,39,1,b'gM',1,"[39, 48, 49, 59]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,
42,2022/07/05 18:59,46,2,1,1,49,1,b'\xbf\x95',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
43,2022/07/05 19:00,47,2,1,1,49,1,b'\xe8\x96',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
44,2022/07/05 19:01,48,2,1,1,42,1,b'\xae\x9b',1,[42],,,,,,,,,,,,,,,,,,,,,,,,
45,2022/07/05 19:02,49,2,1,1,38,1,b'\x8dT',1,[38],,,,,,,,,,,,,,,,,,,,,,,,
46,2022/07/05 19:02,50,4,1,1,49,1,b'1\x88',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
47,2022/07/05 19:03,51,3,1,1,46,1,b'Lw',1,[46],,,,,,,,,,,,,,,,,,,,,,,,
48,2022/07/05 19:05,52,3,1,1,42,1,b'+\x0b',1,"[42, 51]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
49,2022/07/05 19:06,53,2,1,1,52,1,b'\xdd\xb9',1,[52],,,,,,,,,,,,,,,,,,,,,,,,
50,2022/07/05 19:07,54,3,1,1,55,1,b'\x19\xd4',1,[55],,,,,,,,,,,,,,,,,,,,,,,,
51,2022/07/05 19:08,55,2,1,1,46,1,b'6i',1,[46],,,,,,,,,,,,,,,,,,,,,,,,
52,2022/07/05 19:16,56,3,1,1,45,1,b'\xf7\xb1',1,[45],,,,,,,,,,,,,,,,,,,,,,,,
53,2022/07/05 19:17,57,3,1,1,49,2,b'\xe7\x0c',2,"[49, 49]",,,,,,,,,,,,,,,,,,,,,,,,
54,2022/07/05 19:20,58,2,1,1,49,1,b'cQ',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
55,2022/07/05 19:21,59,3,1,1,52,1,b'\x0cc',1,[52],,,,,,,,,,,,,,,,,,,,,,,,
56,2022/07/05 19:22,60,3,1,1,45,1,b'\x8a=',1,[45],,,,,,,,,,,,,,,,,,,,,,,,
57,2022/07/05 19:24,61,3,1,1,43,1,b'\xd5#',1,[43],,,,,,,,,,,,,,,,,,,,,,,,
58,2022/07/05 19:25,62,2,1,1,43,1,b'\xcd\x00',1,"[43, 50]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
59,2022/07/05 19:27,63,3,1,1,46,1,b'\xb4\x8f',1,[46],,,,,,,,,,,,,,,,,,,,,,,,
60,2022/07/05 19:28,64,3,1,1,45,1,b'\x97\xdd',1,[45],,,,,,,,,,,,,,,,,,,,,,,,
61,2022/07/05 19:29,65,2,1,1,48,1,b'\x81\xc9',1,[48],,,,,,,,,,,,,,,,,,,,,,,,
62,2022/07/05 19:30,66,3,1,1,45,1,b'\\R',1,[45],,,,,,,,,,,,,,,,,,,,,,,,
63,2022/07/05 19:32,67,2,1,1,46,1,"b',\xb5'",1,[46],,,,,,,,,,,,,,,,,,,,,,,,
64,2022/07/05 19:33,68,3,1,1,48,1,b'\xa4\xb8',1,[48],,,,,,,,,,,,,,,,,,,,,,,,
65,2022/07/05 19:36,69,4,1,1,58,1,b'\xca\xd5',1,[58],,,,,,,,,,,,,,,,,,,,,,,,
66,2022/07/05 19:37,70,3,1,1,49,1,b'\xcb\x8f',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
67,2022/07/05 19:40,71,2,1,1,46,1,b'\x84\xe2',1,[46],,,,,,,,,,,,,,,,,,,,,,,,
68,2022/07/05 19:43,72,3,1,1,51,1,b'\xff\x01',1,[51],,,,,,,,,,,,,,,,,,,,,,,,
69,2022/07/05 19:44,73,2,1,1,42,1,b'\x1a\xc3',1,[42],,,,,,,,,,,,,,,,,,,,,,,,
70,2022/07/05 19:47,74,3,1,1,47,1,b'\xbe~',1,[47],,,,,,,,,,,,,,,,,,,,,,,,
71,2022/07/05 19:48,75,3,1,1,49,1,b'\xf1\xf4',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
72,2022/07/05 19:49,76,3,1,1,67,1,b'|h',1,[67],,,,,,,,,,,,,,,,,,,,,,,,
73,2022/07/05 19:50,77,2,1,1,48,1,b'6\xd0',1,[48],,,,,,,,,,,,,,,,,,,,,,,,
74,2022/07/05 19:55,78,3,1,1,54,1,b'@\xec',1,[54],,,,,,,,,,,,,,,,,,,,,,,,
75,2022/07/05 19:56,79,3,1,1,41,1,b' \x85',1,[41],,,,,,,,,,,,,,,,,,,,,,,,
76,2022/07/05 19:57,80,2,1,1,36,1,b'\x88\x9f',1,[36],,,,,,,,,,,,,,,,,,,,,,,,
77,2022/07/05 19:58,81,3,1,1,47,1,b'_\x98',1,[47],,,,,,,,,,,,,,,,,,,,,,,,
78,2022/07/05 19:59,82,2,1,1,49,1,b'\xb5\xbd',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
79,2022/07/05 20:03,83,2,1,1,44,1,b'\x19\xc8',1,[44],,,,,,,,,,,,,,,,,,,,,,,,
80,2022/07/05 20:04,84,3,1,1,47,1,b'\x1bD',1,"[47, 54]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
81,2022/07/05 20:05,85,2,1,1,46,1,b'\xd0Z',1,"[46, 49]",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
82,2022/07/05 20:05,86,3,1,1,43,1,b'\x80\x02',1,[43],,,,,,,,,,,,,,,,,,,,,,,,
83,2022/07/05 20:06,87,3,1,1,36,1,b'n\xe8',1,[36],,,,,,,,,,,,,,,,,,,,,,,,
84,2022/07/05 20:07,88,2,1,1,44,1,b'\x19=',1,[44],,,,,,,,,,,,,,,,,,,,,,,,
85,2022/07/05 20:09,89,3,1,1,33,1,b'Pj',1,"[33, 49]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
86,2022/07/05 20:10,90,3,1,1,62,1,b'\xf8A',1,[62],,,,,,,,,,,,,,,,,,,,,,,,
87,2022/07/05 20:11,91,2,1,1,53,1,b'\xd5\xdd',1,[53],,,,,,,,,,,,,,,,,,,,,,,,
88,2022/07/05 20:14,92,2,1,1,42,1,b'\xd6l',1,[42],,,,,,,,,,,,,,,,,,,,,,,,
89,2022/07/05 20:16,93,3,1,1,41,1,b'\x9f|',1,[41],,,,,,,,,,,,,,,,,,,,,,,,
90,2022/07/05 20:22,94,2,1,1,55,1,b'\x97\xb0',1,[55],,,,,,,,,,,,,,,,,,,,,,,,
91,2022/07/05 20:23,95,2,1,1,34,1,b'\x8c\xde',1,[34],,,,,,,,,,,,,,,,,,,,,,,,
92,2022/07/05 20:23,96,4,1,1,57,1,b'+\x07',1,[57],,,,,,,,,,,,,,,,,,,,,,,,
93,2022/07/05 20:28,97,3,1,1,64,1,b'\xc8D',1,[64],,,,,,,,,,,,,,,,,,,,,,,,
94,2022/07/05 20:29,98,2,1,1,48,1,b'T\xdc',1,[48],,,,,,,,,,,,,,,,,,,,,,,,
95,2022/07/05 20:32,99,3,1,1,51,1,b'#\xed',1,[51],,,,,,,,,,,,,,,,,,,,,,,,
96,2022/07/05 20:34,100,2,1,1,49,1,b'9b',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
97,2022/07/05 20:46,101,2,1,1,53,1,b'\xea\xde',1,[53],,,,,,,,,,,,,,,,,,,,,,,,
98,2022/07/05 20:49,102,2,1,1,52,1,b'\xcc1',1,[52],,,,,,,,,,,,,,,,,,,,,,,,
99,2022/07/05 20:52,103,2,1,1,40,1,b'\xd4o',1,"[40, 50]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,
100,2022/07/05 20:53,104,2,1,1,46,1,b'\xb1}',1,[46],,,,,,,,,,,,,,,,,,,,,,,,
101,2022/07/05 20:55,105,2,1,1,49,1,b'\x03\x19',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
102,2022/07/05 20:57,106,3,1,1,46,1,b'z\xb6',1,[46],,,,,,,,,,,,,,,,,,,,,,,,
103,2022/07/05 20:58,107,2,1,1,41,1,b'm\x9c',1,"[41, 45]",0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
104,2022/07/05 21:01,108,2,1,1,48,1,b'_#',1,[48],,,,,,,,,,,,,,,,,,,,,,,,
105,2022/07/05 21:02,109,2,1,1,49,1,b'\xab~',1,"[49, 52]",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
106,2022/07/05 21:07,110,3,1,1,45,1,b'Z\xce',1,[45],,,,,,,,,,,,,,,,,,,,,,,,
107,2022/07/05 21:08,111,2,1,1,49,1,b'\xf2\x97',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
108,2022/07/05 21:11,112,2,1,1,52,1,b'\xadl',1,[52],,,,,,,,,,,,,,,,,,,,,,,,
109,2022/07/05 21:16,113,3,1,1,48,1,b'\xddY',1,[48],,,,,,,,,,,,,,,,,,,,,,,,
110,2022/07/05 21:16,114,2,1,1,43,1,b'M\xd5',1,[43],,,,,,,,,,,,,,,,,,,,,,,,
111,2022/07/05 21:17,115,3,1,1,54,1,b'\xda\x97',1,"[54, 55]",1.0,,,,,,,,,,,,,,,,,,,,,,,
112,2022/07/05 21:18,116,2,1,1,40,1,b'\x9e\x88',1,"[40, 47, 49]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
113,2022/07/05 21:19,117,3,1,1,40,1,b'\xc1\x81',1,[40],,,,,,,,,,,,,,,,,,,,,,,,
114,2022/07/05 21:21,118,3,1,1,37,1,b'p4',1,[37],,,,,,,,,,,,,,,,,,,,,,,,
115,2022/07/05 21:23,119,3,1,1,51,1,b'q#',1,[51],,,,,,,,,,,,,,,,,,,,,,,,
116,2022/07/05 21:25,120,2,1,1,52,1,b'\x07X',1,[52],,,,,,,,,,,,,,,,,,,,,,,,
117,2022/07/05 21:30,121,2,1,1,59,1,b'\x0c\x8d',1,[59],,,,,,,,,,,,,,,,,,,,,,,,
118,2022/07/05 21:31,122,2,1,1,42,1,b'\xca\x85',1,[42],,,,,,,,,,,,,,,,,,,,,,,,
119,2022/07/05 21:31,123,3,1,1,51,1,b'\x1d$',1,[51],,,,,,,,,,,,,,,,,,,,,,,,
120,2022/07/05 21:32,124,2,1,1,51,1,b'\xde\x1d',1,[51],,,,,,,,,,,,,,,,,,,,,,,,
121,2022/07/05 21:37,125,2,1,1,42,1,b'\x14\xdb',1,[42],,,,,,,,,,,,,,,,,,,,,,,,
122,2022/07/05 21:39,126,2,1,1,50,1,b'\xb6\xfc',1,[50],,,,,,,,,,,,,,,,,,,,,,,,
123,2022/07/05 21:40,127,2,1,1,48,1,b'\xf8\xdd',1,[48],,,,,,,,,,,,,,,,,,,,,,,,
124,2022/07/05 21:41,128,2,1,1,52,1,b'\xf0X',1,[52],,,,,,,,,,,,,,,,,,,,,,,,
125,2022/07/05 21:44,129,2,1,1,52,1,b'\xf8\xa4',1,[52],,,,,,,,,,,,,,,,,,,,,,,,
126,2022/07/05 21:45,130,2,1,1,48,1,b'\xc8\x01',1,[48],,,,,,,,,,,,,,,,,,,,,,,,
127,2022/07/05 21:48,131,4,1,1,51,1,b'N\x8a',1,[51],,,,,,,,,,,,,,,,,,,,,,,,
128,2022/07/05 21:49,132,2,1,1,47,1,b'x\xf3',1,[47],,,,,,,,,,,,,,,,,,,,,,,,
129,2022/07/05 21:50,133,2,1,1,50,1,b'A\xe3',1,[50],,,,,,,,,,,,,,,,,,,,,,,,
130,2022/07/05 21:52,134,2,1,1,45,1,"b""'\xac""",1,[45],,,,,,,,,,,,,,,,,,,,,,,,
131,2022/07/05 22:00,135,2,1,1,48,1,b'8)',1,[48],,,,,,,,,,,,,,,,,,,,,,,,
132,2022/07/05 22:02,136,3,1,1,52,1,b'|\xbd',1,[52],,,,,,,,,,,,,,,,,,,,,,,,
133,2022/07/05 22:05,137,2,1,1,53,1,b'\xe0Y',1,[53],,,,,,,,,,,,,,,,,,,,,,,,
134,2022/07/05 22:06,138,2,1,1,38,1,b'\xaa\xf3',1,[38],,,,,,,,,,,,,,,,,,,,,,,,
135,2022/07/05 22:11,139,2,1,1,51,1,b'\x9e\xdd',1,[51],,,,,,,,,,,,,,,,,,,,,,,,
136,2022/07/05 22:13,140,2,1,1,48,1,b'\x0f\xee',1,[48],,,,,,,,,,,,,,,,,,,,,,,,
137,2022/07/05 22:15,141,3,1,1,54,1,b'\xaa/',1,[54],,,,,,,,,,,,,,,,,,,,,,,,
138,2022/07/05 22:23,142,2,1,1,33,1,b'\x80>',1,[33],,,,,,,,,,,,,,,,,,,,,,,,
139,2022/07/05 22:25,143,2,1,1,42,1,b'P\xab',1,[42],,,,,,,,,,,,,,,,,,,,,,,,
140,2022/07/05 22:29,144,3,1,1,50,1,b'\xc6\xe4',1,[50],,,,,,,,,,,,,,,,,,,,,,,,
141,2022/07/05 22:31,145,3,1,1,52,1,b'\xb6\xba',1,[52],,,,,,,,,,,,,,,,,,,,,,,,
142,2022/07/05 22:33,146,4,1,1,55,1,b':\x11',1,[55],,,,,,,,,,,,,,,,,,,,,,,,
143,2022/07/05 22:35,147,2,1,1,50,1,b'\x9a\xb8',1,[50],,,,,,,,,,,,,,,,,,,,,,,,
144,2022/07/05 22:35,148,3,1,1,54,1,b'\xe0\xe7',1,[54],,,,,,,,,,,,,,,,,,,,,,,,
145,2022/07/05 22:41,149,2,1,1,46,1,b'l4',1,[46],,,,,,,,,,,,,,,,,,,,,,,,
146,2022/07/05 22:43,150,2,1,1,33,1,b'N\x87',1,[33],,,,,,,,,,,,,,,,,,,,,,,,
147,2022/07/05 22:47,151,2,1,1,46,1,b'B\x84',1,[46],,,,,,,,,,,,,,,,,,,,,,,,
148,2022/07/05 22:50,152,2,1,1,49,1,b'\xdb\xe5',1,[49],,,,,,,,,,,,,,,,,,,,,,,,
149,2022/07/05 22:52,153,3,1,1,44,1,b'/\x18',1,[44],,,,,,,,,,,,,,,,,,,,,,,,
150,2022/07/05 22:57,154,2,1,1,62,1,b'\xde\xea',1,[62],,,,,,,,,,,,,,,,,,,,,,,,
151,2022/07/05 22:57,155,3,1,1,52,1,b'e\xad',1,[52],,,,,,,,,,,,,,,,,,,,,,,,
152,2022/07/05 22:59,156,3,1,1,45,1,b'\x1e\xbe',1,[45],,,,,,,,,,,,,,,,,,,,,,,,
153,2022/07/05 23:02,157,3,1,1,57,1,b'.\x1d',1,[57],,,,,,,,,,,,,,,,,,,,,,,,
154,2022/07/05 23:07,3,4,1,1,66,1,b'\xa4Q',1,[66],,,,,,,,,,,,,,,,,,,,,,,,
155,2022/07/05 23:12,4,2,1,1,45,1,b'*\xb3',1,[45],,,,,,,,,,,,,,,,,,,,,,,,
