,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,recorded_speeds,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22
15,2022/07/04 14:46,19,3,1,1,47,1,b';\x86',1,[47],,,,,,,,,,,,,,,,,,,,,,
16,2022/07/04 14:46,20,4,1,1,60,1,b'\xdc\x9f',1,[60],,,,,,,,,,,,,,,,,,,,,,
17,2022/07/04 14:47,21,2,1,1,50,1,b'4\x99',1,"[50, 58]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,
18,2022/07/04 14:47,22,3,1,1,43,1,b'\xb2$',1,"[43, 47]",0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
19,2022/07/04 14:48,23,2,1,1,62,1,b'\xd7\xca',1,[62],,,,,,,,,,,,,,,,,,,,,,
20,2022/07/04 14:49,24,2,1,1,48,1,b'5\x0e',1,"[48, 52, 66]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,
21,2022/07/04 14:51,25,2,1,1,51,1,b'\xc8\xfb',1,[51],,,,,,,,,,,,,,,,,,,,,,
22,2022/07/04 14:53,26,2,1,1,53,1,b'l\x8e',1,[53],,,,,,,,,,,,,,,,,,,,,,
23,2022/07/04 14:54,27,3,1,1,54,1,b'cl',1,[54],,,,,,,,,,,,,,,,,,,,,,
24,2022/07/04 14:56,28,2,1,1,53,1,b'\xac\xe2',1,"[53, 58]",0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
25,2022/07/04 14:59,29,2,1,1,44,1,b'8\xdd',1,[44],,,,,,,,,,,,,,,,,,,,,,
26,2022/07/04 15:00,30,2,1,1,44,1,b'\x06]',1,"[44, 47]",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
27,2022/07/04 15:01,31,2,1,1,47,1,b'\xf3%',1,"[47, 53]",0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,
28,2022/07/04 15:01,32,4,1,1,55,1,b'\x14\xd0',1,[55],,,,,,,,,,,,,,,,,,,,,,
29,2022/07/04 15:02,33,2,1,1,46,1,b'\xdc`',1,[46],,,,,,,,,,,,,,,,,,,,,,
30,2022/07/04 15:03,34,2,1,1,54,1,b'y\x91',1,[54],,,,,,,,,,,,,,,,,,,,,,
31,2022/07/04 15:04,35,3,1,1,51,1,b'\xd9\x8d',1,[51],,,,,,,,,,,,,,,,,,,,,,
32,2022/07/04 15:09,36,2,1,1,52,1,b'lp',1,[52],,,,,,,,,,,,,,,,,,,,,,
33,2022/07/04 15:09,37,3,1,1,52,1,b'\xa9a',1,[52],,,,,,,,,,,,,,,,,,,,,,
34,2022/07/04 15:11,38,2,1,1,46,1,b'\xa8\xe0',1,[46],,,,,,,,,,,,,,,,,,,,,,
35,2022/07/04 15:13,39,2,1,1,52,1,b'\xa8\xd5',1,[52],,,,,,,,,,,,,,,,,,,,,,
36,2022/07/04 15:15,40,3,1,1,48,1,b'\xecA',1,[48],,,,,,,,,,,,,,,,,,,,,,
37,2022/07/04 15:16,41,2,1,1,52,1,b'yK',1,[52],,,,,,,,,,,,,,,,,,,,,,
38,2022/07/04 15:19,42,2,1,1,53,1,b'\xe4\x1b',1,[53],,,,,,,,,,,,,,,,,,,,,,
39,2022/07/04 15:19,43,3,1,1,49,1,b'\x1d\xf2',1,[49],,,,,,,,,,,,,,,,,,,,,,
40,2022/07/04 15:21,44,2,1,1,55,1,b'\xde\xba',1,[55],,,,,,,,,,,,,,,,,,,,,,
41,2022/07/04 15:22,45,2,1,1,47,1,"b""\xf4'""",1,"[47, 53, 69]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,2022/07/04 15:23,46,3,1,1,57,1,b'R\x8e',1,[57],,,,,,,,,,,,,,,,,,,,,,
43,2022/07/04 15:26,47,3,1,1,48,1,b'#~',1,[48],,,,,,,,,,,,,,,,,,,,,,
44,2022/07/04 15:28,48,2,1,1,51,1,b'+#',1,[51],,,,,,,,,,,,,,,,,,,,,,
45,2022/07/04 15:29,49,2,1,1,56,1,b'\xd3 ',1,[56],,,,,,,,,,,,,,,,,,,,,,
46,2022/07/04 15:31,50,2,1,1,57,1,b'\xb3=',1,[57],,,,,,,,,,,,,,,,,,,,,,
47,2022/07/04 15:33,51,2,1,1,47,1,b'-\x7f',1,"[47, 51]",0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
48,2022/07/04 15:33,52,3,1,1,40,1,b'W\x92',1,[40],,,,,,,,,,,,,,,,,,,,,,
49,2022/07/04 15:34,53,3,1,1,56,1,b'1\x83',1,[56],,,,,,,,,,,,,,,,,,,,,,
50,2022/07/04 15:37,54,3,1,1,53,1,b'\xad\xf1',1,[53],,,,,,,,,,,,,,,,,,,,,,
51,2022/07/04 15:39,55,2,1,1,54,1,b'_^',1,[54],,,,,,,,,,,,,,,,,,,,,,
52,2022/07/04 15:39,56,3,1,1,49,1,"b',t'",1,[49],,,,,,,,,,,,,,,,,,,,,,
53,2022/07/04 15:42,57,3,1,1,53,1,b'\xd2\x0f',1,[53],,,,,,,,,,,,,,,,,,,,,,
54,2022/07/04 15:47,58,3,1,1,40,1,"b'""\x07'",1,"[40, 47]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
55,2022/07/04 15:48,59,4,1,1,56,1,b'\xd0L',1,[56],,,,,,,,,,,,,,,,,,,,,,
56,2022/07/04 15:49,60,2,1,1,50,1,b'\xdd\xbd',1,[50],,,,,,,,,,,,,,,,,,,,,,
57,2022/07/04 15:49,61,3,1,1,51,1,b'\xee>',1,"[51, 53, 59]",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,
58,2022/07/04 15:50,62,2,1,1,51,1,b'Pc',1,[51],,,,,,,,,,,,,,,,,,,,,,
59,2022/07/04 15:55,63,3,1,1,57,1,b'#\xdc',1,[57],,,,,,,,,,,,,,,,,,,,,,
60,2022/07/04 16:00,64,2,1,1,51,1,b'\x95\x9f',1,[51],,,,,,,,,,,,,,,,,,,,,,
61,2022/07/04 16:01,65,3,1,1,38,1,b'[n',1,[38],,,,,,,,,,,,,,,,,,,,,,
62,2022/07/04 16:04,66,2,1,1,59,1,b'\x99Q',1,[59],,,,,,,,,,,,,,,,,,,,,,
63,2022/07/04 16:09,67,3,1,1,56,1,b'Ch',1,[56],,,,,,,,,,,,,,,,,,,,,,
64,2022/07/04 16:10,68,2,1,1,49,1,b'\xb1j',1,[49],,,,,,,,,,,,,,,,,,,,,,
65,2022/07/04 16:13,69,2,1,1,45,1,b'\x96@',1,"[45, 49]",0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
66,2022/07/04 16:14,70,2,1,1,49,1,b'eA',1,[49],,,,,,,,,,,,,,,,,,,,,,
67,2022/07/04 16:17,71,3,1,1,38,1,b'\x9c\xad',1,[38],,,,,,,,,,,,,,,,,,,,,,
68,2022/07/04 16:19,72,3,1,1,61,1,b'U\xd7',1,[61],,,,,,,,,,,,,,,,,,,,,,
69,2022/07/04 16:20,73,2,1,1,53,1,b'\xaa\xca',1,[53],,,,,,,,,,,,,,,,,,,,,,
70,2022/07/04 16:22,74,3,1,1,59,1,b'\xe6\xfa',1,[59],,,,,,,,,,,,,,,,,,,,,,
71,2022/07/04 16:26,75,2,1,1,47,1,b'A\x1a',1,[47],,,,,,,,,,,,,,,,,,,,,,
72,2022/07/04 16:26,76,3,1,1,39,1,b'\x0f\xd2',1,[39],,,,,,,,,,,,,,,,,,,,,,
73,2022/07/04 16:29,77,2,1,1,53,1,b'\xff\xd0',1,[53],,,,,,,,,,,,,,,,,,,,,,
74,2022/07/04 16:29,78,4,1,1,57,1,b'\xf7\x0f',1,[57],,,,,,,,,,,,,,,,,,,,,,
75,2022/07/04 16:30,79,3,1,1,53,1,b'\x1c\x8d',1,[53],,,,,,,,,,,,,,,,,,,,,,
76,2022/07/04 16:31,80,3,1,1,60,1,b'\x8dz',1,[60],,,,,,,,,,,,,,,,,,,,,,
77,2022/07/04 16:32,81,2,1,1,48,1,b'\xf9b',1,[48],,,,,,,,,,,,,,,,,,,,,,
78,2022/07/04 16:35,82,3,1,1,42,1,b'\x05\xae',1,[42],,,,,,,,,,,,,,,,,,,,,,
79,2022/07/04 16:36,83,3,1,1,50,1,b'Pe',1,"[50, 58]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,
80,2022/07/04 16:38,84,3,1,1,50,1,b'7\xc6',1,[50],,,,,,,,,,,,,,,,,,,,,,
81,2022/07/04 16:41,85,2,1,1,49,1,b'\x17d',1,[49],,,,,,,,,,,,,,,,,,,,,,
82,2022/07/04 16:41,86,4,1,1,55,1,b'\xb1g',1,[55],,,,,,,,,,,,,,,,,,,,,,
83,2022/07/04 16:43,87,2,1,1,54,1,b'\xfd\xbc',1,[54],,,,,,,,,,,,,,,,,,,,,,
84,2022/07/04 16:44,88,2,1,1,46,1,b'\xe1\x91',1,[46],,,,,,,,,,,,,,,,,,,,,,
85,2022/07/04 16:44,89,3,1,1,45,1,b'\xe9\xa5',1,[45],,,,,,,,,,,,,,,,,,,,,,
86,2022/07/04 16:45,90,3,1,1,50,1,b'm\x03',1,[50],,,,,,,,,,,,,,,,,,,,,,
87,2022/07/04 16:46,91,2,1,1,55,1,b'\xf8\xaa',1,[55],,,,,,,,,,,,,,,,,,,,,,
88,2022/07/04 16:48,92,3,1,1,55,1,b'/\xa3',1,[55],,,,,,,,,,,,,,,,,,,,,,
89,2022/07/04 16:51,93,3,1,1,50,1,b'o\x95',1,[50],,,,,,,,,,,,,,,,,,,,,,
90,2022/07/04 16:53,94,3,1,1,45,1,b'\t\xda',1,[45],,,,,,,,,,,,,,,,,,,,,,
91,2022/07/04 16:59,95,3,1,1,52,1,b'\x0e\xb5',1,[52],,,,,,,,,,,,,,,,,,,,,,
92,2022/07/04 17:01,96,2,1,1,47,1,b'\xdb\xe1',1,[47],,,,,,,,,,,,,,,,,,,,,,
93,2022/07/04 17:06,97,3,1,1,52,1,b'\xeez',1,"[52, 58]",0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,
94,2022/07/04 17:06,98,3,1,1,53,1,b'\x02\x16',1,[53],,,,,,,,,,,,,,,,,,,,,,
95,2022/07/04 17:06,99,4,1,1,65,1,b'\xa3w',1,[65],,,,,,,,,,,,,,,,,,,,,,
96,2022/07/04 17:07,100,2,1,1,50,1,b'\x88%',1,[50],,,,,,,,,,,,,,,,,,,,,,
97,2022/07/04 17:09,101,2,1,1,51,1,b'\xf6l',1,[51],,,,,,,,,,,,,,,,,,,,,,
98,2022/07/04 17:11,102,3,1,1,59,1,b' \x17',1,[59],,,,,,,,,,,,,,,,,,,,,,
99,2022/07/04 17:14,103,2,1,1,47,1,b'\xb0\xc5',1,[47],,,,,,,,,,,,,,,,,,,,,,
100,2022/07/04 17:16,104,3,1,1,55,1,b'\xda\xba',1,[55],,,,,,,,,,,,,,,,,,,,,,
101,2022/07/04 17:17,105,3,1,1,55,1,b'7y',1,[55],,,,,,,,,,,,,,,,,,,,,,
102,2022/07/04 17:19,106,3,1,1,49,1,b'v3',1,[49],,,,,,,,,,,,,,,,,,,,,,
103,2022/07/04 17:20,107,3,1,1,45,1,b'\xc6]',1,"[45, 48, 49]",0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,
104,2022/07/04 17:21,108,3,1,1,45,1,b'\xaf\xff',1,[45],,,,,,,,,,,,,,,,,,,,,,
105,2022/07/04 17:23,109,3,1,1,59,1,b'~b',1,[59],,,,,,,,,,,,,,,,,,,,,,
106,2022/07/04 17:25,110,3,1,1,54,1,b'\x05\xa8',1,[54],,,,,,,,,,,,,,,,,,,,,,
107,2022/07/04 17:28,111,2,1,1,39,1,b'\xc2\x14',1,[39],,,,,,,,,,,,,,,,,,,,,,
108,2022/07/04 17:28,112,3,1,1,40,1,b'3Z',1,"[40, 53]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
109,2022/07/04 17:29,113,2,1,1,51,1,b'm%',1,[51],,,,,,,,,,,,,,,,,,,,,,
110,2022/07/04 17:30,114,2,1,1,49,1,b'=P',1,[49],,,,,,,,,,,,,,,,,,,,,,
111,2022/07/04 17:32,115,3,1,1,51,1,b'\xf6\xab',1,[51],,,,,,,,,,,,,,,,,,,,,,
112,2022/07/04 17:33,116,3,1,1,57,1,b'\xe6\x88',1,[57],,,,,,,,,,,,,,,,,,,,,,
113,2022/07/04 17:34,117,2,1,1,45,1,b'i\xfe',1,[45],,,,,,,,,,,,,,,,,,,,,,
114,2022/07/04 17:35,118,3,1,1,49,1,b'\xf5\xe2',1,[49],,,,,,,,,,,,,,,,,,,,,,
115,2022/07/04 17:36,119,3,1,1,50,1,b'\xca\xa0',1,[50],,,,,,,,,,,,,,,,,,,,,,
116,2022/07/04 17:38,120,3,1,1,51,1,b'\x0c\xc5',1,[51],,,,,,,,,,,,,,,,,,,,,,
117,2022/07/04 17:40,121,3,1,1,50,1,b'r\x8c',1,[50],,,,,,,,,,,,,,,,,,,,,,
118,2022/07/04 17:43,122,2,1,1,40,1,b'\x8e@',1,[40],,,,,,,,,,,,,,,,,,,,,,
119,2022/07/04 17:45,123,3,1,1,50,1,b'[\xea',1,[50],,,,,,,,,,,,,,,,,,,,,,
120,2022/07/04 17:47,124,3,1,1,49,1,b'/\xe6',1,[49],,,,,,,,,,,,,,,,,,,,,,
121,2022/07/04 17:48,125,3,1,1,53,1,b'os',1,[53],,,,,,,,,,,,,,,,,,,,,,
122,2022/07/04 17:50,126,3,1,1,48,1,b'\xe3\x1c',1,[48],,,,,,,,,,,,,,,,,,,,,,
123,2022/07/04 17:51,127,3,1,1,54,1,b'\x94\x94',1,[54],,,,,,,,,,,,,,,,,,,,,,
124,2022/07/04 17:53,128,2,1,1,46,1,b'>3',1,[46],,,,,,,,,,,,,,,,,,,,,,
125,2022/07/04 17:53,129,3,1,1,44,1,b'\x1c\x8e',1,"[44, 49, 53]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
126,2022/07/04 17:55,130,3,1,1,47,1,b'\x9b?',1,[47],,,,,,,,,,,,,,,,,,,,,,
127,2022/07/04 17:56,131,2,1,1,52,1,b'\xc2\xbb',1,[52],,,,,,,,,,,,,,,,,,,,,,
128,2022/07/04 17:57,132,3,1,1,50,2,b'[\xba',2,"[50, 50]",,,,,,,,,,,,,,,,,,,,,,
129,2022/07/04 17:58,133,3,1,1,43,1,b'\x01\r',1,"[43, 54]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,
130,2022/07/04 17:59,134,2,1,1,47,1,b'\x03\xc8',1,[47],,,,,,,,,,,,,,,,,,,,,,
131,2022/07/04 17:59,135,3,1,1,51,1,b'S\x8d',1,[51],,,,,,,,,,,,,,,,,,,,,,
132,2022/07/04 18:00,136,2,1,1,60,1,b'\xf1\x97',1,[60],,,,,,,,,,,,,,,,,,,,,,
133,2022/07/04 18:01,137,2,1,1,47,1,b'p\xb2',1,[47],,,,,,,,,,,,,,,,,,,,,,
134,2022/07/04 18:04,138,3,1,1,39,1,b'D ',1,[39],,,,,,,,,,,,,,,,,,,,,,
135,2022/07/04 18:06,139,2,1,1,49,1,"b'@""'",1,[49],,,,,,,,,,,,,,,,,,,,,,
136,2022/07/04 18:06,140,3,1,1,43,1,b'\xd9\x10',1,[43],,,,,,,,,,,,,,,,,,,,,,
137,2022/07/04 18:07,141,3,1,1,48,1,b'5%',1,"[48, 49, 52]",1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
138,2022/07/04 18:08,142,3,1,1,47,1,b'\xd1\xad',1,[47],,,,,,,,,,,,,,,,,,,,,,
139,2022/07/04 18:08,143,3,1,1,50,1,b'?\xe1',1,[50],,,,,,,,,,,,,,,,,,,,,,
140,2022/07/04 18:09,144,2,1,1,49,1,b'\x05\xdf',1,[49],,,,,,,,,,,,,,,,,,,,,,
141,2022/07/04 18:10,145,3,1,1,50,1,b'\n=',1,[50],,,,,,,,,,,,,,,,,,,,,,
142,2022/07/04 18:12,146,3,1,1,40,1,b'&\x84',1,"[40, 47]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
143,2022/07/04 18:13,147,3,1,1,53,1,b'\xf8\x97',1,[53],,,,,,,,,,,,,,,,,,,,,,
144,2022/07/04 18:15,148,3,1,1,50,1,b'`\xe9',1,[50],,,,,,,,,,,,,,,,,,,,,,
145,2022/07/04 18:16,149,2,1,1,49,1,b'\xd4\xb4',1,[49],,,,,,,,,,,,,,,,,,,,,,
146,2022/07/04 18:16,150,3,1,1,46,1,b'x\xc0',1,[46],,,,,,,,,,,,,,,,,,,,,,
147,2022/07/04 18:17,151,3,1,1,39,1,b'\x82\xe8',1,"[39, 48]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
148,2022/07/04 18:19,152,2,1,1,50,1,b'\xa8\xb1',1,[50],,,,,,,,,,,,,,,,,,,,,,
149,2022/07/04 18:19,153,3,1,1,46,1,b'\xf8\xf4',1,[46],,,,,,,,,,,,,,,,,,,,,,
150,2022/07/04 18:20,154,2,1,1,41,1,b'\xcfO',1,[41],,,,,,,,,,,,,,,,,,,,,,
151,2022/07/04 18:20,155,3,1,1,59,1,b'\xdd\xa4',1,[59],,,,,,,,,,,,,,,,,,,,,,
152,2022/07/04 18:21,156,3,1,1,47,1,b'.\xea',1,[47],,,,,,,,,,,,,,,,,,,,,,
153,2022/07/04 18:22,157,3,1,1,47,1,b'9\xb2',1,[47],,,,,,,,,,,,,,,,,,,,,,
154,2022/07/04 18:24,158,3,1,1,48,1,b'\x95\x82',1,[48],,,,,,,,,,,,,,,,,,,,,,
155,2022/07/04 18:24,159,3,1,1,43,1,b'\xe1\x85',1,[43],,,,,,,,,,,,,,,,,,,,,,
156,2022/07/04 18:25,160,3,1,1,47,1,b')\x11',1,"[47, 50]",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
157,2022/07/04 18:27,161,3,1,1,52,2,b'\x18\x04',2,"[52, 52]",,,,,,,,,,,,,,,,,,,,,,
158,2022/07/04 18:30,162,3,1,1,54,1,b'%I',1,"[54, 58]",0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
159,2022/07/04 18:31,163,3,1,1,46,1,b'\xab\x1a',1,[46],,,,,,,,,,,,,,,,,,,,,,
160,2022/07/04 18:33,164,3,1,1,50,1,b'\x05/',1,[50],,,,,,,,,,,,,,,,,,,,,,
161,2022/07/04 18:35,165,2,1,1,41,1,b'\x8e\xa6',1,[41],,,,,,,,,,,,,,,,,,,,,,
162,2022/07/04 18:37,166,3,1,1,49,1,b'w\xa3',1,"[49, 54]",0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
163,2022/07/04 18:39,167,2,1,1,50,1,b'\xee\x8e',1,[50],,,,,,,,,,,,,,,,,,,,,,
164,2022/07/04 18:39,168,3,1,1,59,1,b'\xdf\n',1,[59],,,,,,,,,,,,,,,,,,,,,,
165,2022/07/04 18:40,169,2,1,1,52,1,b'\xcb?',1,[52],,,,,,,,,,,,,,,,,,,,,,
166,2022/07/04 18:40,170,3,1,1,47,1,b'&\xb3',1,"[47, 48]",1.0,,,,,,,,,,,,,,,,,,,,,
167,2022/07/04 18:41,171,3,1,1,49,1,b'\x85\x97',1,[49],,,,,,,,,,,,,,,,,,,,,,
168,2022/07/04 18:44,172,2,1,1,46,1,b'S\xb9',1,[46],,,,,,,,,,,,,,,,,,,,,,
169,2022/07/04 18:47,173,2,1,1,53,1,b'\xf0\xe2',1,[53],,,,,,,,,,,,,,,,,,,,,,
170,2022/07/04 18:50,174,3,1,1,55,1,"b'4,'",1,[55],,,,,,,,,,,,,,,,,,,,,,
171,2022/07/04 18:51,175,3,1,1,47,1,b'\xa0\xc9',1,[47],,,,,,,,,,,,,,,,,,,,,,
172,2022/07/04 18:55,176,3,1,1,50,1,b'd\xfd',1,[50],,,,,,,,,,,,,,,,,,,,,,
173,2022/07/04 18:56,177,2,1,1,48,1,b'\xffC',1,[48],,,,,,,,,,,,,,,,,,,,,,
174,2022/07/04 18:56,178,3,1,1,54,1,b'\x91\r',1,[54],,,,,,,,,,,,,,,,,,,,,,
175,2022/07/04 18:57,179,2,1,1,46,1,b'\xd0w',1,[46],,,,,,,,,,,,,,,,,,,,,,
176,2022/07/04 19:00,180,3,1,1,41,1,b'\xda\x1b',1,[41],,,,,,,,,,,,,,,,,,,,,,
177,2022/07/04 19:01,181,3,1,1,52,1,b'\x19\x90',1,[52],,,,,,,,,,,,,,,,,,,,,,
178,2022/07/04 19:04,182,3,1,1,54,1,b'VA',1,[54],,,,,,,,,,,,,,,,,,,,,,
179,2022/07/04 19:08,183,3,1,1,46,1,b'\xdd\xcd',1,"[46, 52]",0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,
180,2022/07/04 19:12,184,3,1,1,49,1,b'*\x05',1,[49],,,,,,,,,,,,,,,,,,,,,,
181,2022/07/04 19:13,185,3,1,1,57,1,b'\x1f#',1,[57],,,,,,,,,,,,,,,,,,,,,,
182,2022/07/04 19:14,186,3,1,1,59,1,b'OV',1,[59],,,,,,,,,,,,,,,,,,,,,,
183,2022/07/04 19:15,187,3,1,1,51,1,b'zp',1,[51],,,,,,,,,,,,,,,,,,,,,,
184,2022/07/04 19:16,188,3,1,1,47,1,b'\x10\xff',1,[47],,,,,,,,,,,,,,,,,,,,,,
185,2022/07/04 19:17,189,2,1,1,56,1,b'\xa87',1,[56],,,,,,,,,,,,,,,,,,,,,,
186,2022/07/04 19:19,190,3,1,1,46,1,b'\x9d!',1,[46],,,,,,,,,,,,,,,,,,,,,,
187,2022/07/04 19:20,191,2,1,1,55,1,b'x\xe3',1,[55],,,,,,,,,,,,,,,,,,,,,,
188,2022/07/04 19:22,192,2,1,1,53,1,b'\xf8\xdf',1,[53],,,,,,,,,,,,,,,,,,,,,,
189,2022/07/04 19:24,193,2,1,1,48,1,b'j\xe4',1,[48],,,,,,,,,,,,,,,,,,,,,,
190,2022/07/04 19:26,194,2,1,1,43,1,b'\x05\xe6',1,[43],,,,,,,,,,,,,,,,,,,,,,
191,2022/07/04 19:26,195,3,1,1,47,1,"b',\x85'",1,[47],,,,,,,,,,,,,,,,,,,,,,
192,2022/07/04 19:28,196,3,1,1,55,1,b'\t\xb5',1,[55],,,,,,,,,,,,,,,,,,,,,,
193,2022/07/04 19:34,197,2,1,1,51,1,b'\x9a=',1,"[51, 52]",1.0,,,,,,,,,,,,,,,,,,,,,
194,2022/07/04 19:38,198,2,1,1,50,1,b'\x1f\x93',1,"[50, 53]",0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
195,2022/07/04 19:40,199,2,1,1,40,1,b'\xed\xf6',1,[40],,,,,,,,,,,,,,,,,,,,,,
196,2022/07/04 19:42,200,2,1,1,43,1,b']\xaa',1,[43],,,,,,,,,,,,,,,,,,,,,,
197,2022/07/04 19:44,201,2,1,1,53,1,b'\xb1\xed',1,[53],,,,,,,,,,,,,,,,,,,,,,
198,2022/07/04 19:46,202,3,1,1,59,1,b'\xfd\xdd',1,[59],,,,,,,,,,,,,,,,,,,,,,
199,2022/07/04 19:47,203,3,1,1,42,1,b'\n\xc1',1,[42],,,,,,,,,,,,,,,,,,,,,,
200,2022/07/04 19:48,204,2,1,1,44,1,b'\xba\xce',1,[44],,,,,,,,,,,,,,,,,,,,,,
201,2022/07/04 19:48,205,3,1,1,57,1,b'\x89r',1,[57],,,,,,,,,,,,,,,,,,,,,,
202,2022/07/04 19:50,206,2,1,1,46,1,b'\xe9Q',1,"[46, 48]",0.0,1.0,,,,,,,,,,,,,,,,,,,,
203,2022/07/04 19:50,207,4,1,1,44,1,b'\xac\x97',1,[44],,,,,,,,,,,,,,,,,,,,,,
204,2022/07/04 19:51,208,2,1,1,44,1,b'\x93\xc1',1,[44],,,,,,,,,,,,,,,,,,,,,,
205,2022/07/04 19:51,209,3,1,1,50,1,b'\xb5\xbd',1,[50],,,,,,,,,,,,,,,,,,,,,,
206,2022/07/04 19:53,210,2,1,1,42,1,"b""':""",1,[42],,,,,,,,,,,,,,,,,,,,,,
207,2022/07/04 20:02,211,2,1,1,46,1,b'a\xe3',1,[46],,,,,,,,,,,,,,,,,,,,,,
208,2022/07/04 20:05,212,2,1,1,51,1,b'\xee\xf0',1,[51],,,,,,,,,,,,,,,,,,,,,,
209,2022/07/04 20:08,213,3,1,1,60,1,b'\xd0\xd4',1,[60],,,,,,,,,,,,,,,,,,,,,,
210,2022/07/04 20:09,214,2,1,1,46,1,b'\xde\xec',1,[46],,,,,,,,,,,,,,,,,,,,,,
211,2022/07/04 20:11,215,2,1,1,48,1,b'\xd7\x94',1,[48],,,,,,,,,,,,,,,,,,,,,,
