,date_time,record_number,vehicle_class,bucket_speed_span,bucket_time_span,lowest_speed_in_time_span,first_bucket_count,record_crc,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,recorded_speeds,bucket_6,bucket_7,bucket_8,bucket_9,bucket_10,bucket_11,bucket_12,bucket_13,bucket_14,bucket_15,bucket_16,bucket_17,bucket_18,bucket_19,bucket_20,bucket_21,bucket_22,bucket_23,bucket_24,bucket_25,bucket_26
26,2022/07/07 22:15,30,2,1,1,41,1,b'W)',1,,,,,,[41],,,,,,,,,,,,,,,,,,,,,
27,2022/07/07 22:19,31,2,1,1,28,1,b'6\xed',1,1.0,,,,,"[28, 29]",,,,,,,,,,,,,,,,,,,,,
28,2022/07/07 22:29,32,2,1,1,35,1,b'\x89\x17',1,,,,,,[35],,,,,,,,,,,,,,,,,,,,,
29,2022/07/07 22:53,33,3,1,1,40,1,b'\xaaN',1,,,,,,[40],,,,,,,,,,,,,,,,,,,,,
30,2022/07/07 22:54,34,2,1,1,41,1,b'\xe2\x81',1,,,,,,[41],,,,,,,,,,,,,,,,,,,,,
31,2022/07/07 22:58,35,2,1,1,43,1,b'\xabv',1,,,,,,[43],,,,,,,,,,,,,,,,,,,,,
32,2022/07/07 23:08,36,2,1,1,43,1,b'\x98{',1,,,,,,[43],,,,,,,,,,,,,,,,,,,,,
33,2022/07/07 23:12,37,2,1,1,41,1,b'\x1b\xf3',1,,,,,,[41],,,,,,,,,,,,,,,,,,,,,
34,2022/07/07 23:19,38,2,1,1,49,1,b'\xff&',1,,,,,,[49],,,,,,,,,,,,,,,,,,,,,
35,2022/07/07 23:27,39,2,1,1,41,1,b'\\\xf1',1,,,,,,[41],,,,,,,,,,,,,,,,,,,,,
36,2022/07/07 23:37,40,2,1,1,40,1,b'\x18\xdc',1,,,,,,[40],,,,,,,,,,,,,,,,,,,,,
37,2022/07/07 23:54,41,2,1,1,33,1,b'\xf3E',1,0.0,0.0,0.0,0.0,0.0,"[33, 44]",0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
